,id,country_name,Indicator_Name,YR_2008,YR_2009,YR_2010,YR_2011,YR_2012,YR_2013,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018
10,11,Antigua and Barbuda,GDP (current US$),1368431037.0,1224253000.0,1148700000.0,1137637037.0,1199948148.0,1181448148.0,1249733333.0,1336692593.0,1436585185.0,1467977778.0,1610574074.0
11,12,Australia,GDP (current US$),1050000000000.0,928000000000.0,1150000000000.0,1400000000000.0,1550000000000.0,1580000000000.0,1470000000000.0,1350000000000.0,1210000000000.0,1330000000000.0,1430000000000.0
12,13,Austria,GDP (current US$),430000000000.0,400000000000.0,392000000000.0,431000000000.0,409000000000.0,430000000000.0,442000000000.0,382000000000.0,395000000000.0,417000000000.0,455000000000.0
13,14,Azerbaijan,GDP (current US$),48852482960.0,44291490421.0,52902703376.0,65951627200.0,69683935845.0,74164435946.0,75244294275.0,53074468085.0,37867518957.0,40865558912.0,46939529412.0
14,15,Burundi,GDP (current US$),1611835902.0,1781455092.0,2032135247.0,2235820868.0,2333308099.0,2451625333.0,2705783272.0,3104394858.0,2959640987.0,3172292379.0,3036931818.0
15,16,Belgium,GDP (current US$),515000000000.0,481000000000.0,481000000000.0,523000000000.0,496000000000.0,522000000000.0,535000000000.0,462000000000.0,476000000000.0,503000000000.0,543000000000.0
16,17,Benin,GDP (current US$),7132787397.0,7097198712.0,6977040762.0,7824320327.0,8152088222.0,9159958826.0,9720362615.0,8294490789.0,8578984066.0,9269594835.0,10354274635.0
17,18,Burkina Faso,GDP (current US$),8369637065.0,8369175126.0,8979966766.0,10724063458.0,11166063467.0,11947176342.0,12377391463.0,10419303761.0,10867024152.0,12330338343.0,14124775069.0
18,19,Bangladesh,GDP (current US$),91631278239.0,102000000000.0,115000000000.0,129000000000.0,133000000000.0,150000000000.0,173000000000.0,195000000000.0,221000000000.0,250000000000.0,274000000000.0
19,20,Bulgaria,GDP (current US$),54409138498.0,51884481410.0,50610058210.0,57418414504.0,53903022339.0,55555171010.0,56814543481.0,50201314895.0,53240950226.0,58220973783.0,65132951116.0
20,21,Bahrain,GDP (current US$),25710877660.0,22938218085.0,25713271277.0,28776622340.0,30749335106.0,32539547872.0,33387686170.0,31125877660.0,32250132979.0,35432686170.0,37746196809.0
21,22,"Bahamas, The",GDP (current US$),10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562700000.0,10913300000.0,11752300000.0,11938400000.0,12150400000.0,12424500000.0
22,23,Bosnia and Herzegovina,GDP (current US$),19112739664.0,17613836210.0,17176781337.0,18644723861.0,17226849297.0,18178503835.0,18558343508.0,16211540686.0,16913330694.0,18080118128.0,20161865419.0
23,24,Belarus,GDP (current US$),60763483146.0,50874078052.0,58665088956.0,61757788945.0,65685102555.0,75527984234.0,78813839984.0,56454734397.0,47722657821.0,54726595249.0,59662495092.0
24,25,Belize,GDP (current US$),1368625150.0,1335217500.0,1377179137.0,1460800212.0,1522899790.0,1579413515.0,1662802599.0,1723785357.0,1775100179.0,1836593466.0,1871203164.0
25,26,Bermuda,GDP (current US$),6109928000.0,5806378000.0,5744414000.0,5550771000.0,5537537000.0,5573710000.0,,,,,
